ticker,cik,sic,sic_description,status
NHIC,0002043699,6770,Blank Checks,ok
NIPG,0001966233,7990,Services-Miscellaneous Amusement & Recreation,ok
NKTX,0001787400,2834,Pharmaceutical Preparations,ok
NLIT,,,,cik_not_found
NMMC,,,,cik_not_found
NMRA,0001885522,2836,"Biological Products, (No Diagnostic Substances)",ok
NNAG,,,,cik_not_found
NNE,0001923891,4911,Electric Services,ok
NNOX,0001795251,3844,X-Ray Apparatus & Tubes & Related Irradiation Apparatus,ok
NOAC,,,,cik_not_found
NOEM,0001956648,6770,Blank Checks,ok
NOVA,,,,cik_not_found
NOVS,,,,cik_not_found
NOVV,,,,cik_not_found
NPA,,,,cik_not_found
NPAB,,,,cik_not_found
NRDS,0001625278,7374,Services-Computer Processing & Data Preparation,ok
NREF,0001786248,6798,Real Estate Investment Trusts,ok
NRIX,0001549595,2834,Pharmaceutical Preparations,ok
NRSN,0001875091,2834,Pharmaceutical Preparations,ok
NRXS,0001933567,3845,Electromedical & Electrotherapeutic Apparatus,ok
NSH,,,,cik_not_found
NTCL,0001927578,7372,Services-Prepackaged Software,ok
NTST,0001798100,6798,Real Estate Investment Trusts,ok
NTWO,0002028027,6770,Blank Checks,ok
NU,0001691493,6199,Finance Services,ok
NUBI,,,,cik_not_found
NUVL,0001861560,2834,Pharmaceutical Preparations,ok
NUZE,,,,cik_not_found
NVAC,,,,cik_not_found
NVCT,0001875558,2834,Pharmaceutical Preparations,ok
NVEI,,,,cik_not_found
NVST,0001757073,3843,Dental Equipment & Supplies,ok
NWGL,0001948294,2400,Lumber & Wood Products (No Furniture),ok
NXGL,0001468929,3841,Surgical & Medical Instruments & Apparatus,ok
NXL,0001527352,3845,Electromedical & Electrotherapeutic Apparatus,ok
NXT,0001852131,3674,Semiconductors & Related Devices,ok
NXTC,0001661059,2834,Pharmaceutical Preparations,ok
NXU,,,,cik_not_found
NYXH,0001857190,3841,Surgical & Medical Instruments & Apparatus,ok
OAC,,,,cik_not_found
OACB,,,,cik_not_found
OACC,0002029769,6770,Blank Checks,ok
OAKU,,,,cik_not_found
OB,,,,cik_not_found
OBDC,0001655888,,,no_sic
OCA,,,,cik_not_found
OCFT,,,,cik_not_found
OCG,0001776067,7380,Services-Miscellaneous Business Services,ok
ODD,0001907085,2844,"Perfumes, Cosmetics & Other Toilet Preparations",ok
OHAA,,,,cik_not_found
OKYO,0001849296,2836,"Biological Products, (No Diagnostic Substances)",ok
OLIT,,,,cik_not_found
OLMA,0001750284,2834,Pharmaceutical Preparations,ok
OLPX,0001868726,2844,"Perfumes, Cosmetics & Other Toilet Preparations",ok
OM,0001484612,3845,Electromedical & Electrotherapeutic Apparatus,ok
OMGA,,,,cik_not_found
OMH,0001944902,6531,Real Estate Agents & Managers (For Others),ok
ONCO,0001782107,2834,Pharmaceutical Preparations,ok
ONCR,,,,cik_not_found
ONEG,0002030834,1520,General Bldg Contractors - Residential Bldgs,ok
ONEM,,,,cik_not_found
ONEW,0001772921,5531,Retail-Auto & Home Supply Stores,ok
ONFO,0001825452,7374,Services-Computer Processing & Data Preparation,ok
ONON,0001858985,3021,Rubber & Plastics Footwear,ok
ONYX,,,,cik_not_found
OPRT,0001538716,6199,Finance Services,ok
OPT,,,,cik_not_found
ORIC,0001796280,2834,Pharmaceutical Preparations,ok
ORIS,0001964664,0100,Agricultural Production-Crops,ok
ORKT,0001979407,7372,Services-Prepackaged Software,ok
ORPHY,,,,cik_not_found
ORSN,,,,cik_not_found
OS,,,,cik_not_found
OSH,,,,cik_not_found
OST,0001803407,3679,"Electronic Components, NEC",ok
OSTX,0001795091,2834,Pharmaceutical Preparations,ok
OTRA,,,,cik_not_found
OXAC,,,,cik_not_found
OXUS,,,,cik_not_found
OYST,,,,cik_not_found
OZON,,,,cik_not_found
PACE,,,,cik_not_found
PACI,,,,cik_not_found
PACS,0002001184,8051,Services-Skilled Nursing Care Facilities,ok
PAFO,,,,cik_not_found
PAIC,,,,cik_not_found
PAIYY,0001757143,8093,"Services-Specialty Outpatient Facilities, NEC",ok
PAL,0001998768,4700,Transportation Services,ok
PANA,,,,cik_not_found
PAND,,,,cik_not_found
PAPL,0001938109,6199,Finance Services,ok
PASG,0001787297,2836,"Biological Products, (No Diagnostic Substances)",ok
PAVS,0001751876,7374,Services-Computer Processing & Data Preparation,ok
PBAX,,,,cik_not_found
PC,0001998056,5812,Retail-Eating  Places,ok
PCCT,,,,cik_not_found
PCPC,,,,cik_not_found
PCPL,,,,cik_not_found
PCSC,0002017526,8071,Services-Medical Laboratories,ok
PCVX,0001649094,2836,"Biological Products, (No Diagnostic Substances)",ok
PCX,,,,cik_not_found
PD,0001568100,7372,Services-Prepackaged Software,ok
PDAC,,,,cik_not_found
PECO,0001476204,6798,Real Estate Investment Trusts,ok
PEGR,,,,cik_not_found
PEPG,0001835597,2834,Pharmaceutical Preparations,ok
PEPL,,,,cik_not_found
PEV,,,,cik_not_found
PFHC,,,,cik_not_found
PFHD,,,,cik_not_found
PFTA,,,,cik_not_found
PGNY,0001551306,8090,"Services-Misc Health & Allied Services, NEC",ok
PGSS,,,,cik_not_found
PHAT,0001783183,2834,Pharmaceutical Preparations,ok
PHIC,,,,cik_not_found
PHR,0001412408,7389,"Services-Business Services, NEC",ok
PHYT,,,,cik_not_found
PIAI,,,,cik_not_found
PIC,,,,cik_not_found
PIK,,,,cik_not_found
PINE,0001786117,6798,Real Estate Investment Trusts,ok
PING,,,,cik_not_found
PINS,0001506293,7370,"Services-Computer Programming, Data Processing, Etc.",ok
PIPP,,,,cik_not_found
PLAO,,,,cik_not_found
PLMJ,,,,cik_not_found
PLMR,0001761312,6331,"Fire, Marine & Casualty Insurance",ok
PLRX,0001746473,2834,Pharmaceutical Preparations,ok
PLRZ,0001893645,3841,Surgical & Medical Instruments & Apparatus,ok
PLTN,,,,cik_not_found
PLTR,0001321655,7372,Services-Prepackaged Software,ok
PMAX,0002012096,7380,Services-Miscellaneous Business Services,ok
PMEC,0001891944,7340,Services-To Dwellings & Other Buildings,ok
PMNT,0001849221,2300,Apparel & Other Finishd Prods of  Fabrics & Similar Matl,ok
PMVC,0001807765,6770,Blank Checks,ok
PMVP,0001699382,2834,Pharmaceutical Preparations,ok
PNAC,,,,cik_not_found
POLCQ,,,,cik_not_found
POLE,0002025341,6770,Blank Checks,ok
PONO,0002108164,6770,Blank Checks,ok
PONY,0001969302,7373,Services-Computer Integrated Systems Design,ok
PORT,,,,cik_not_found
PPD,,,,cik_not_found
PPHP,,,,cik_not_found
PPYA,,,,cik_not_found
PRAX,0001689548,2834,Pharmaceutical Preparations,ok
PRBM,,,,cik_not_found
PRCT,0001588978,3841,Surgical & Medical Instruments & Apparatus,ok
PRFX,0001801834,2834,Pharmaceutical Preparations,ok
PRLD,0001678660,2834,Pharmaceutical Preparations,ok
PRLH,,,,cik_not_found
PRME,0001894562,2836,"Biological Products, (No Diagnostic Substances)",ok
PROS,,,,cik_not_found
PRPB,,,,cik_not_found
PRVL,,,,cik_not_found
PRZO,0001916241,3728,"Aircraft Parts & Auxiliary Equipment, NEC",ok
PSAC,,,,cik_not_found
PSBD,0001794776,,,no_sic
PSN,0000275880,7373,Services-Computer Integrated Systems Design,ok
PSNL,0001527753,8071,Services-Medical Laboratories,ok
PSTH,,,,cik_not_found
PSTL,0001759774,6798,Real Estate Investment Trusts,ok
PSTX,,,,cik_not_found
PTAC,,,,cik_not_found
PTHR,,,,cik_not_found
PTIC,,,,cik_not_found
PTK,,,,cik_not_found
PTLE,0002016337,5172,Wholesale-Petroleum & Petroleum Products (No Bulk Stations),ok
PTLO,0001871509,5812,Retail-Eating  Places,ok
PTON,0001639825,3949,"Sporting & Athletic Goods, NEC",ok
PTVE,,,,cik_not_found
PTWO,,,,cik_not_found
PUBM,0001422930,7370,"Services-Computer Programming, Data Processing, Etc.",ok
PWM,,,,cik_not_found
PWSC,,,,cik_not_found
PWUP,,,,cik_not_found
PXDT,,,,cik_not_found
PXMD,,,,cik_not_found
PYCR,,,,cik_not_found
PYPD,0001611842,3841,Surgical & Medical Instruments & Apparatus,ok
PYXS,0001782223,2834,Pharmaceutical Preparations,ok
QELL,,,,cik_not_found
QETA,0001978528,6770,Blank Checks,ok
QH,,,,cik_not_found
QMMM,0001971542,7311,Services-Advertising Agencies,ok
QNCX,0001662774,2836,"Biological Products, (No Diagnostic Substances)",ok
QOMO,,,,cik_not_found
QUCY,0001874252,2834,Pharmaceutical Preparations,ok
RAAC,,,,cik_not_found
RACA,,,,cik_not_found
RACY,,,,cik_not_found
RANG,0002035644,6770,Blank Checks,ok
RANI,0001856725,2834,Pharmaceutical Preparations,ok
RAPP,0002012593,2834,Pharmaceutical Preparations,ok
RAPT,,,,cik_not_found
RAY,0001948443,3630,Household Appliances,ok
RAYA,0001825875,3621,Motors & Generators,ok
RBAC,,,,cik_not_found
RBKB,0001751783,6036,"Savings Institutions, Not Federally Chartered",ok
RBRK,0001943896,7372,Services-Prepackaged Software,ok
RCAC,,,,cik_not_found
RCFA,,,,cik_not_found
RCHG,,,,cik_not_found
RDAC,0002018145,6770,Blank Checks,ok
RDDT,0001713445,7374,Services-Computer Processing & Data Preparation,ok
REAL,0001573221,5900,Retail-Miscellaneous Retail,ok
REBN,0001707910,5812,Retail-Eating  Places,ok
RECT,0001995116,3420,"Cutlery, Handtools & General Hardware",ok
REFI,0001867949,6798,Real Estate Investment Trusts,ok
RELY,0001782170,7389,"Services-Business Services, NEC",ok
RENE,,,,cik_not_found
RENT,0001468327,5990,"Retail-Retail Stores, NEC",ok
REVE,,,,cik_not_found
REYN,0001786431,2673,"Plastics, Foil & Coated Paper Bags",ok
RFAC,,,,cik_not_found
RFAI,0002012807,6770,Blank Checks,ok
